# Well Angle,Fracture 1,Fracture 2,Fracture 3,Pressure Drop
1.003354252449484146e-01,3.464006043397166934e+01,3.274032971889158716e+01,3.261960984713675060e+01,1.583712151640627042e+02
2.006706966436306028e-01,3.405976101934983546e+01,3.272530963475627885e+01,3.321492934589389279e+01,1.587844518815135757e+02
3.010056603245632179e-01,3.348700772567213590e+01,3.269548688047880347e+01,3.381750539384906773e+01,1.591462650502808742e+02
4.013401625788883820e-01,3.292143875766056027e+01,3.265083839446043612e+01,3.442772284787901782e+01,1.594569316078303700e+02
5.006912612564722309e-01,3.236814305832704974e+01,3.259197733129655461e+01,3.503987961037638854e+01,1.597143728466885477e+02
6.005615116529761099e-01,3.181836759459585906e+01,3.251805571243027515e+01,3.566357669297386934e+01,1.599229928896246520e+02
7.004308497143204582e-01,3.127469511482480868e+01,3.242926407043707826e+01,3.629604081473812016e+01,1.600814177704801580e+02
8.002991237428552784e-01,3.073680317522019934e+01,3.232550424683068258e+01,3.693769257794910743e+01,1.601896966041313419e+02
9.001661820506275946e-01,3.020437626119363372e+01,3.220665879194432790e+01,3.758896494686204903e+01,1.602478234086531188e+02
1.000031872960765789e+00,2.967710517351801514e+01,3.207259066847652207e+01,3.825030415800546280e+01,1.602557371702195610e+02
1.100961253905949455e+00,2.914913904123000066e+01,3.192146526256674122e+01,3.892939569620325813e+01,1.602125974816724465e+02
1.200823736403118236e+00,2.863132130430929934e+01,3.175629351819150870e+01,3.961238517749918486e+01,1.601191416742977083e+02
1.300418102405262344e+00,2.811912481800085573e+01,3.157586797289540925e+01,4.030500720910374213e+01,1.599754076129470377e+02
1.400809364927726230e+00,2.760681377371576417e+01,3.137791128069092395e+01,4.101527494559331899e+01,1.597791657947869055e+02
1.500665914816155189e+00,2.710091144367619620e+01,3.116474216638500749e+01,4.173434638993879986e+01,1.595324727093894523e+02
1.600520185534808570e+00,2.659840647952314541e+01,3.093508863807411657e+01,4.246650488240273091e+01,1.592340251661691752e+02
1.700105757316529465e+00,2.610034594162600285e+01,3.068934228056311397e+01,4.321031177781087962e+01,1.588843711872510482e+02
1.800221283243522041e+00,2.560246760639146046e+01,3.042515149499977412e+01,4.397238089860876897e+01,1.584799793690285696e+02
1.899950655587020032e+00,2.510905572936492547e+01,3.014455765465558557e+01,4.474638661597950318e+01,1.580238546406550313e+02
1.999930083045492024e+00,2.461667978418828540e+01,2.984543963830447311e+01,4.553788057750725216e+01,1.575125502068063383e+02
2.099906465473766470e+00,2.412631716483191369e+01,2.952809384649874858e+01,4.634558898866933419e+01,1.569464491259189742e+02
2.199879650817317511e+00,2.363769058874187223e+01,2.919209847297958405e+01,4.717021093827854372e+01,1.563247797502735921e+02
2.299849487050810826e+00,2.315052215617556186e+01,2.883700159978902633e+01,4.801247624403541181e+01,1.556467028762655502e+02
2.399815822179489189e+00,2.266453282809330716e+01,2.846231975145881421e+01,4.887314742044787863e+01,1.549113097187620838e+02
2.499778504240557808e+00,2.217944189694599899e+01,2.806753632652496222e+01,4.975302177652904589e+01,1.541176197095279861e+02
2.599737381304565442e+00,2.169496644854808665e+01,2.765209989759724962e+01,5.065293365385466018e+01,1.532645781138897974e+02
2.699692301476790846e+00,2.121082081320463075e+01,2.721542237035492562e+01,5.157375681644044363e+01,1.523510534594309718e+02
2.799643112898621666e+00,2.072671600423403149e+01,2.675687699091233895e+01,5.251640700485362601e+01,1.513758347702435003e+02
2.899589663748938673e+00,2.024235914199941178e+01,2.627579618998257516e+01,5.348184466801802017e+01,1.503376286000290634e+02
2.999531802245492429e+00,1.975745286152412916e+01,2.577146925116681686e+01,5.447107788730905042e+01,1.492350558571974091e+02
3.099469376646286189e+00,1.927169470173576471e+01,2.524313978948921644e+01,5.548516550877502596e+01,1.480666484150282258e+02
3.199402235250955240e+00,1.878477647434203135e+01,2.469000302498428212e+01,5.652522050067369008e+01,1.468308455000572792e+02
3.299330226402140021e+00,1.829638361030996663e+01,2.411120283471034753e+01,5.759241355497969295e+01,1.455259898519694843e+02
3.399253198486867245e+00,1.780619448188395637e+01,2.350582856499393714e+01,5.868797695312210294e+01,1.441503236487200184e+02
3.499170999937923909e+00,1.731387969805436455e+01,2.287291158400063651e+01,5.981320871794500249e+01,1.427019841911400135e+02
3.599083479235231753e+00,1.681910137136737404e+01,2.221142155286251096e+01,6.096947707577010789e+01,1.411789993421290319e+02
3.698990484907222154e+00,1.632151235396260702e+01,2.152026239155267007e+01,6.215822525448471936e+01,1.395792827166857535e+02
