# 5 kg/s Parallel,10 kg/s Parallel,15 kg/s Parallel,20 kg/s Parallel,25 kg/s Parallel,30 kg/s Parallel,35 kg/s Parallel,40 kg/s Parallel,45 kg/s Parallel,50 kg/s Parallel,5 kg/s Non-Parallel,10 kg/s Non-Parallel,15 kg/s Non-Parallel,20 kg/s Non-Parallel,25 kg/s Non-Parallel,30 kg/s Non-Parallel,35 kg/s Non-Parallel,40 kg/s Non-Parallel,45 kg/s Non-Parallel,50 kg/s Non-Parallel
1.881183691013670227e+02,6.639954273026770579e+02,1.426894887268201501e+03,2.476527288514532302e+03,3.812723387613361410e+03,5.435370055059179322e+03,7.344385862141433790e+03,9.539709321778564117e+03,1.202129240445383221e+04,1.478909662715213744e+04,1.877739958914609986e+02,6.637938909167733073e+02,1.426827758088682003e+03,2.476588807154844289e+03,3.812910034781596096e+03,5.435679645876919494e+03,7.344817050134060082e+03,9.540261319817886033e+03,1.202196481717947790e+04,1.478988934433657232e+04
8.241983637878411173e+01,2.412043512311230700e+02,4.756238454801596731e+02,7.853915833700585836e+02,1.170339762352186881e+03,1.630356149775872154e+03,2.165359930210323455e+03,2.775290062258607577e+03,3.460098854406047394e+03,4.219748088209062189e+03,8.123728731260878533e+01,2.405267502214806257e+02,4.755408819374940208e+02,7.859078429962157770e+02,1.171448481980958832e+03,1.632049654865600587e+03,2.167631512686206406e+03,2.778134203506469476e+03,3.463511097307337423e+03,4.223724855836308052e+03
6.283539919718587186e+01,1.628538942462419072e+02,2.993280739190124677e+02,4.719749492371720407e+02,6.806291618984987508e+02,9.251801064573835447e+02,1.205548107550624763e+03,1.521672958838728164e+03,1.873507602645162478e+03,2.261014315537262064e+03,6.071619226174696848e+01,1.613856847689343681e+02,2.989714543118076335e+02,4.728563664785770584e+02,6.827880425317998743e+02,9.286273206579394355e+02,1.210284067500406763e+03,1.527694170359506188e+03,1.880809272344067722e+03,2.269591440254195277e+03
5.597646249702882670e+01,1.353984919633588504e+02,2.375314024282601224e+02,3.620931772172127694e+02,5.089203454168769554e+02,6.779039855153565668e+02,8.689657800173559963e+02,1.082046599903576862e+03,1.317100246688998595e+03,1.574089689941481311e+03,5.310201137617031009e+01,1.330682698639158161e+02,2.366936095387418675e+02,3.631181012179718550e+02,5.119754845048315133e+02,6.830714703696714878e+02,8.762875743085928661e+02,1.091544303816117235e+03,1.328784597665229285e+03,1.587965437043604652e+03
5.280010014326948919e+01,1.226740986600378989e+02,2.088735951429062254e+02,3.111128100136515968e+02,4.292277629668105874e+02,5.631100463201514685e+02,7.126821363686163977e+02,8.778857215026142740e+02,1.058675358580564307e+03,1.255014687401487890e+03,4.937514205564574610e+01,1.195701395749814395e+02,2.074822532269454030e+02,3.120977744285769404e+02,4.329452287199583793e+02,5.697658153639025613e+02,7.224013564357055657e+02,8.907473771431425575e+02,1.074730687171603449e+03,1.274297600449015363e+03
5.107401565953136924e+01,1.157540945350898625e+02,1.932761692897259138e+02,2.833469600112541116e+02,3.857991173028136132e+02,5.005228298345606959e+02,6.274401156969958038e+02,7.664926628241856861e+02,9.176352450412562121e+02,1.080831815097773188e+03,4.725611266099696195e+01,1.120110326660014124e+02,1.913507490534162514e+02,2.841870905113395906e+02,3.899720866731724982e+02,5.083897093576376847e+02,6.392411379140243071e+02,7.823931909822978241e+02,9.377522434276470449e+02,1.105249885906690679e+03
5.003296176241975957e+01,1.115776048630479238e+02,1.838549276843614848e+02,2.665623027013181741e+02,3.595268422016555405e+02,4.626354762738748150e+02,5.758083132892858202e+02,6.989859380149673598e+02,8.321225101567561069e+02,9.751816683455291468e+02,4.593259644066137071e+01,1.073238119074343757e+02,1.814545350388806639e+02,2.672128281188548158e+02,3.640019152137772949e+02,4.714615128706327027e+02,5.893572893727184692e+02,7.175285017440725142e+02,8.558603017852176436e+02,1.004267913149082801e+03
4.935714799608287962e+01,1.088648760623854486e+02,1.777310517837212274e+02,2.556433384951938592e+02,3.424221380332841704e+02,4.379497953646134079e+02,5.421432780404707046e+02,6.549410064746587068e+02,7.762956404475925183e+02,9.061697753802583293e+02,4.505028341375258094e+01,1.042070737288480018e+02,1.749244110395900123e+02,2.560947798409263783e+02,3.470934282614387030e+02,4.475283540681272143e+02,5.571366920572611434e+02,6.757336776978772832e+02,8.031847144981339852e+02,9.393889219287950709e+02
4.889374743566197168e+01,1.070039493762462399e+02,1.735273516611285345e+02,2.481424005651786615e+02,3.306624346311506315e+02,4.209644938593361871e+02,5.189615729632027978e+02,6.245891066226126895e+02,7.377974972804862546e+02,8.585476222251010086e+02,4.443291606802934268e+01,1.020263269431371498e+02,1.703794822108682183e+02,2.484032636999352519e+02,3.354590918885926953e+02,4.311333893859463728e+02,5.351414357378356499e+02,6.472786322585594689e+02,7.673931181791023164e+02,8.953692517846313876e+02
4.856224517136372043e+01,1.056722278235019559e+02,1.705174243162726384e+02,2.427679400798195672e+02,3.222302263874727828e+02,4.087757889823868140e+02,5.023132131612973126e+02,6.027744229435437546e+02,7.101070176824790678e+02,8.242696263462137267e+02,4.398433769920369230e+01,1.004399020870838655e+02,1.670849729476205709e+02,2.428546265943968194e+02,3.271055041622510089e+02,4.194100331943027982e+02,5.194672586911758572e+02,6.270567173746054550e+02,7.420119969308657346e+02,8.642044840267650443e+02
4.831695152754984690e+01,1.046865463212764240e+02,1.682885744438872564e+02,2.387857862481693871e+02,3.159782081825820796e+02,3.997319131918234802e+02,4.899509518351670749e+02,5.865634797496002193e+02,6.895139653879721209e+02,7.987584311857904140e+02,4.364835960672264292e+01,9.924964503188776632e+01,1.646190355678022854e+02,2.387171882334096722e+02,3.209014726612296613e+02,4.107357380422328674e+02,5.079072374578080940e+02,6.121830642802524380e+02,7.233848067398342891e+02,8.413727400383144186e+02
