# Fracture 1 Parallel,Fracture 2 Parallel,Fracture 3 Parallel,Fracture 1 Non-Parallel,Fracture 2 Non-Parallel,Fracture 3 Non-Parallel
3.342689572549222987e+01,3.330413593427024210e+01,3.326896834023752803e+01,3.281840253327212764e+01,3.329962879050458469e+01,3.388196867622328767e+01
3.366724952232411994e+01,3.322934531342717435e+01,3.310340516424870572e+01,3.151707580046848989e+01,3.316758612864062172e+01,3.531533807089088128e+01
3.397059066046985976e+01,3.313521704882420948e+01,3.289419229070593076e+01,2.992752630066507535e+01,3.288961254118783017e+01,3.718286115814710513e+01
3.426821806709604346e+01,3.304287811691133925e+01,3.268890381599260309e+01,2.843394964827069415e+01,3.246948346205532943e+01,3.909656688967397287e+01
3.452662787184559789e+01,3.296249198690311744e+01,3.251088014125129178e+01,2.719327963174701779e+01,3.196296656335611530e+01,4.084375380489687046e+01
3.473792323901624002e+01,3.289647076232411393e+01,3.236560599865964605e+01,2.621662511417874342e+01,3.143500946757350079e+01,4.234836541824775935e+01
3.490615312696749584e+01,3.284364103344769603e+01,3.225020583958479392e+01,2.546138477885683216e+01,3.093183930990215913e+01,4.360677591124100871e+01
3.503895701815101660e+01,3.280173172392304082e+01,3.215931125792594258e+01,2.487751670673455706e+01,3.047724476378875735e+01,4.464523852947668558e+01
3.514391726765985879e+01,3.276846241230163059e+01,3.208762032003850351e+01,2.442263696292595654e+01,3.007903297866268844e+01,4.549833005841136213e+01
3.522738722987737958e+01,3.274190302356272753e+01,3.203070974655990000e+01,2.406434157334105350e+01,2.973607946746335529e+01,4.619957895919560542e+01
3.529434256467923348e+01,3.272052846449271613e+01,3.198512897082804685e+01,2.377872964660207344e+01,2.944317404636344548e+01,4.677809630703447397e+01
3.534857056230577399e+01,3.270316881526265718e+01,3.194826062243157949e+01,2.354833466086818206e+01,2.919376931666469588e+01,4.725789602246712917e+01
3.539292491283336517e+01,3.268893662393503519e+01,3.191813846323159964e+01,2.336035997274733589e+01,2.898134918232897661e+01,4.765829084492368395e+01
3.542955432094392876e+01,3.267715984023180908e+01,3.189328583882426571e+01,2.320535606110794191e+01,2.880001755605427505e+01,4.799462638283777238e+01
3.546008364932306733e+01,3.266732776858921028e+01,3.187258858208771883e+01,2.307627335589107886e+01,2.864468599250314895e+01,4.827904065160578284e+01
3.548575022195235817e+01,3.265904989347350096e+01,3.185519988457413731e+01,2.296779413648557977e+01,2.851107227826282653e+01,4.852113358525158304e+01
3.550750412150630808e+01,3.265202528540475413e+01,3.184047059308893068e+01,2.287586195699819314e+01,2.839562054536924407e+01,4.872851749763256635e+01
3.552608139372267715e+01,3.264602009384666559e+01,3.182789851243065371e+01,2.279734852516502741e+01,2.829539727657135373e+01,4.890725419826361531e+01
3.554205744526477417e+01,3.264085102139770100e+01,3.181709153333753903e+01,2.272981594644514303e+01,2.820798809722019485e+01,4.906219595633466213e+01
3.555588613436894008e+01,3.263637315857964438e+01,3.180774070705140844e+01,2.267134538569406388e+01,2.813140542551915146e+01,4.919724918878678466e+01
3.556792855885228732e+01,3.263247098243075328e+01,3.179960045871695939e+01,2.262041232184060036e+01,2.806400992673212968e+01,4.931557775142727706e+01
3.557847441152311063e+01,3.262905165193693335e+01,3.179247393653994891e+01,2.257579478156578290e+01,2.800444551221124101e+01,4.941975970622296899e+01
3.558775794829518446e+01,3.262603997714592197e+01,3.178620207455889357e+01,2.253650514324990795e+01,2.795158635749409015e+01,4.951190849925601611e+01
3.559597002665255161e+01,3.262337461469783761e+01,3.178065535864960722e+01,2.250173895499754906e+01,2.790449406702166257e+01,4.959376697798079192e+01
3.560326725683898985e+01,3.262100516802092187e+01,3.177572757514008472e+01,2.247083615627835584e+01,2.786238317437046419e+01,4.966678066935117641e+01
3.560977901519388666e+01,3.261888995968723748e+01,3.177133102511887586e+01,2.244325142999682043e+01,2.782459338556411765e+01,4.973215518443906547e+01
3.561561286196752718e+01,3.261699430693363411e+01,3.176739283109883871e+01,2.241853133884373861e+01,2.779056723103240856e+01,4.979090143012385994e+01
3.562085875890852549e+01,3.261528917669959782e+01,3.176385206439187314e+01,2.239629654829606054e+01,2.775983203745311911e+01,4.984387141425083456e+01
