# Fracture 1 Parallel,Fracture 2 Parallel,Fracture 3 Parallel,Fracture 1 Non-Parallel,Fracture 2 Non-Parallel,Fracture 3 Non-Parallel
3.349566662063976707e+01,3.328219972328937359e+01,3.322213365607085223e+01,3.295404265859368564e+01,3.327812623227821831e+01,3.376783110912808183e+01
3.391470483765645838e+01,3.315086787962576409e+01,3.293442728271777042e+01,3.199335083804074031e+01,3.309569576133119284e+01,3.491095340062805974e+01
3.444822632673441376e+01,3.298452783025719270e+01,3.256724584300837932e+01,3.081611937372418097e+01,3.276713112299889730e+01,3.641674950327691107e+01
3.497757241486618796e+01,3.281965110787105289e+01,3.220277647726275205e+01,2.970789597825866934e+01,3.231470357937514137e+01,3.797740044236618928e+01
3.544262266211330115e+01,3.267420622323268731e+01,3.188317111465401155e+01,2.878844406719517934e+01,3.179571022854898033e+01,3.941584570425582967e+01
3.582715748265164990e+01,3.255303951457622702e+01,3.161980300277213018e+01,2.806784561447025084e+01,3.126882780619598634e+01,4.066332657933376282e+01
3.613636862146262274e+01,3.245474333771976916e+01,3.140888804081762231e+01,2.751428572943473583e+01,3.077393258678141663e+01,4.171178168378386886e+01
3.638254179588481207e+01,3.237579605542202188e+01,3.124166214869315539e+01,2.708957388515624132e+01,3.033061477497523484e+01,4.257981133986852740e+01
3.657848662840624598e+01,3.231244943051624574e+01,3.110906394107750828e+01,2.676121941818409056e+01,2.994436250284915957e+01,4.329441807896674987e+01
3.673523167892136598e+01,3.226141678645538491e+01,3.100335153462324556e+01,2.650444656858228498e+01,2.961291080799779962e+01,4.388264262341992605e+01
3.686157832511646859e+01,3.222003122332332481e+01,3.091839045156021371e+01,2.630109618497245449e+01,2.933055947109481210e+01,4.436834434393273341e+01
3.696432225215281875e+01,3.218620312285037244e+01,3.084947462499680881e+01,2.613800495548274583e+01,2.909060629079165494e+01,4.477138875372560278e+01
3.704864207046828284e+01,3.215831971638382925e+01,3.079303821314789502e+01,2.600561250704529570e+01,2.888654327923163478e+01,4.510784421372306241e+01
3.711847280798547644e+01,3.213514208248692938e+01,3.074638510952759063e+01,2.589691955949284363e+01,2.871255500826275409e+01,4.539052543224441649e+01
3.717681256195163542e+01,3.211571745396049948e+01,3.070746998408787221e+01,2.580674674236698607e+01,2.856366022903623048e+01,4.562959302859677280e+01
3.722595865677610050e+01,3.209930993349424000e+01,3.067473140972964885e+01,2.573121620755560102e+01,2.843568785755802253e+01,4.583309593488637290e+01
3.726768437088627905e+01,3.208534761166382765e+01,3.064696801744989330e+01,2.566738986290342694e+01,2.832518666799773754e+01,4.600742346909883196e+01
3.730336961099982318e+01,3.207338283907100873e+01,3.062324754992917164e+01,2.561301564631264327e+01,2.822931712320044895e+01,4.615766723048690778e+01
3.733409722558875643e+01,3.206306255878715916e+01,3.060284021562408441e+01,2.556634805186965309e+01,2.814574711143545471e+01,4.628790483669489220e+01
3.736072411520257930e+01,3.205410616035545246e+01,3.058516972444195048e+01,2.552601987796910166e+01,2.807256002382169058e+01,4.640142009820920066e+01
3.738393397441963373e+01,3.204628890065301050e+01,3.056977712492735932e+01,2.549094957770137881e+01,2.800817726888158887e+01,4.650087315341703942e+01
3.740427665250541622e+01,3.203942943207781724e+01,3.055629391541675943e+01,2.546027358928246542e+01,2.795129453368633676e+01,4.658843187703118360e+01
3.742219773630559843e+01,3.203338036421617829e+01,3.054442189947823749e+01,2.543329637473060600e+01,2.790083005548056860e+01,4.666587356978882184e+01
