# 5 kg/s Parallel,10 kg/s Parallel,15 kg/s Parallel,20 kg/s Parallel,25 kg/s Parallel,30 kg/s Parallel,5 kg/s Non-Parallel,10 kg/s Non-Parallel,15 kg/s Non-Parallel,20 kg/s Non-Parallel,25 kg/s Non-Parallel,30 kg/s Non-Parallel
1.176569215219623032e+02,3.821528218161958534e+02,7.927539493945655522e+02,1.349171699589139052e+03,2.051237277279177761e+03,2.898837833651589790e+03,1.170100594947054020e+02,3.818033985164238970e+02,7.927046384774860144e+02,1.349413779335582149e+03,2.051763692888214337e+03,2.899643449245637839e+03
6.479448275424721260e+01,1.706932036235435817e+02,3.169690339609231273e+02,5.033384312933650335e+02,7.296355967891197452e+02,9.957496105024885082e+02,6.282629815631218406e+01,1.693722948150431478e+02,3.166777738273474370e+02,5.041722496590754758e+02,7.316203131821873740e+02,9.988896666528576134e+02
5.499624672945891746e+01,1.314728031692532113e+02,2.286920564447748063e+02,3.463715092103650477e+02,4.843478316556764867e+02,6.425123770105627727e+02,5.197089808297110380e+01,1.289435527280071483e+02,2.277220659760572232e+02,3.474005570468543738e+02,4.875851331373657445e+02,6.480658829156110414e+02
5.156443570623341799e+01,1.177207484879525623e+02,1.977102585224287452e+02,2.912425612374970569e+02,3.981517564833048368e+02,5.183287411111067513e+02,4.786678970954749701e+01,1.141816536688983632e+02,1.959626002540443892e+02,2.921398995818437356e+02,4.021884336150242802e+02,5.258104519479360306e+02
4.997529649675014696e+01,1.113461861401183484e+02,1.833326688095900465e+02,2.656314254663716952e+02,3.580691189485413588e+02,4.605323898817712234e+02,4.585807946913106292e+01,1.070604361726578588e+02,1.809011324322807184e+02,2.662678248389819942e+02,3.625611476855053752e+02,4.694181729444742928e+02
4.911182513341600497e+01,1.078797982054172309e+02,1.755061437812865108e+02,2.516739586265187256e+02,3.362002216606480829e+02,4.289647592863581167e+02,4.472479668071606795e+01,1.030575555107449901e+02,1.725262602777804659e+02,2.520311954266552448e+02,3.409394869136316402e+02,4.388475602553490376e+02
4.859108812209765915e+01,1.057881134735653603e+02,1.707794077675324331e+02,2.432358705514657800e+02,3.229646276148860125e+02,4.098377406188968166e+02,4.402361146776556922e+01,1.005789027438610788e+02,1.673732629341267000e+02,2.433392222326295951e+02,3.278336052316637392e+02,4.204299693332346806e+02
4.825307017694976253e+01,1.044298056257316318e+02,1.677078669439510463e+02,2.377478977447958641e+02,3.143480270659094913e+02,3.973726783046020046e+02,4.356026409074407013e+01,9.893715635278857690e+01,1.639723725406727510e+02,2.376344874183433831e+02,3.192818370598658362e+02,4.084764188748058018e+02
4.802130724698314879e+01,1.034981927462287246e+02,1.656001075757407364e+02,2.339792973147953887e+02,3.084260870146704860e+02,3.887979168019454050e+02,4.323847972169052412e+01,9.779397192815864059e+01,1.616089181104917145e+02,2.336856019441819114e+02,3.133892560860851972e+02,4.002770537095931331e+02
4.785551880330012153e+01,1.028316230644209099e+02,1.640913889609488479e+02,2.312802419234633078e+02,3.041818980579240588e+02,3.826476506283384538e+02,4.300611944604298742e+01,9.696641008582031418e+01,1.598997829908533106e+02,2.308380031718167800e+02,3.091552109522519345e+02,3.944075853099081428e+02
