# Fracture 1 Parallel,Fracture 2 Parallel,Fracture 3 Parallel,Fracture 1 Non-Parallel,Fracture 2 Non-Parallel,Fracture 3 Non-Parallel
3.350835455026631138e+01,3.327861435763777820e+01,3.321303109209592463e+01,3.256088358807042482e+01,3.326714075977002238e+01,3.417197565215954569e+01
3.392087415195998545e+01,3.315020408007035257e+01,3.292892176796966908e+01,3.078940984511973156e+01,3.300734303377269896e+01,3.620324712110756593e+01
3.437712888136388045e+01,3.300848885245640929e+01,3.261438226617971736e+01,2.892847643749125197e+01,3.250854268194429153e+01,3.856298088056445295e+01
3.476807548620907795e+01,3.288667145470075326e+01,3.234525305909017590e+01,2.742604532713713894e+01,3.185968789709771087e+01,4.071426677576515374e+01
3.507002126493583205e+01,3.279195666376184448e+01,3.213802207130233057e+01,2.632361401851228067e+01,3.119001729264208578e+01,4.248636868884563000e+01
3.529486930887294704e+01,3.272089345390765658e+01,3.198423723721939993e+01,2.553271183437247416e+01,3.058099211295892061e+01,4.388629605266860523e+01
3.546137626418285294e+01,3.266790318088168732e+01,3.187072055493545975e+01,2.496141027497127851e+01,3.006204964658567746e+01,4.497654007844305113e+01
3.558569847125091457e+01,3.262810545134081508e+01,3.178619607740826325e+01,2.454159983408934664e+01,2.963344216848863866e+01,4.582495799742202536e+01
3.567982180343506116e+01,3.259783022622568183e+01,3.172234797033925346e+01,2.422695558956751682e+01,2.928390187057045679e+01,4.648914253986202993e+01
3.575221012068958260e+01,3.257445593084489133e+01,3.167333394846551542e+01,2.398650548569037255e+01,2.899958709469954243e+01,4.701390741961008501e+01
3.580876577596483656e+01,3.255613694217164067e+01,3.163509728186352632e+01,2.379940215720790775e+01,2.876767831397138053e+01,4.743291952882070461e+01
3.585361845522061941e+01,3.254157187524344153e+01,3.160480966953593907e+01,2.365139537309715223e+01,2.857744754555113786e+01,4.777115708135170280e+01
3.588968778807686277e+01,3.252983481975020652e+01,3.158047739217294136e+01,2.353256589747297411e+01,2.842030626059025522e+01,4.804712784193677777e+01
3.591906584739626140e+01,3.252025885506655101e+01,3.156067529753718404e+01,2.343588038361773940e+01,2.828951180205129390e+01,4.827460781433097026e+01
3.594327358316952115e+01,3.251235704335115173e+01,3.154436937347934133e+01,2.335626216653952270e+01,2.817980843123857326e+01,4.846392940222190759e+01
3.596343289837805202e+01,3.250576892149837249e+01,3.153079818012356483e+01,2.328998507781411931e+01,2.808710149614936924e+01,4.862291342603650435e+01
3.598038304541211829e+01,3.250022403524491210e+01,3.151939291934296961e+01,2.323427133892639063e+01,2.800819073402493942e+01,4.875753792704865930e+01
3.599476026037623200e+01,3.249551683658141599e+01,3.150972290304235202e+01,2.318702021919799705e+01,2.794056175233874484e+01,4.887241802846324390e+01
3.600705295115179894e+01,3.249148919789092105e+01,3.150145785095728002e+01,2.314662183720320954e+01,2.788222644055338151e+01,4.897115172224339830e+01
3.601764045695476568e+01,3.248801807831191724e+01,3.149434146473331708e+01,2.311182732254671990e+01,2.783160193582937580e+01,4.905657074162390074e+01
3.602682063293208614e+01,3.248500671392006467e+01,3.148817265314784564e+01,2.308165689507745810e+01,2.778741904588845202e+01,4.913092405903410054e+01
3.603482973604686634e+01,3.248237824677441665e+01,3.148279201717871700e+01,2.305533385488492115e+01,2.774865285543742743e+01,4.919601328967765141e+01
3.604185693894031317e+01,3.248007106246253528e+01,3.147807199859714444e+01,2.303223654305007528e+01,2.771446994272737641e+01,4.925329351422253410e+01
3.604805504805940330e+01,3.247803533891681838e+01,3.147390961302379253e+01,2.301186294222166850e+01,2.768418802358296205e+01,4.930394903419536234e+01
3.605354850717250770e+01,3.247623046404193303e+01,3.147022102878555927e+01,2.299380428562789902e+01,2.765724491402582430e+01,4.934895080034628734e+01
3.605843943683152730e+01,3.247462308354735683e+01,3.146693747962113363e+01,2.297772516659701125e+01,2.763317450839090483e+01,4.938910032501208036e+01
3.606281223704362304e+01,3.247318561083687882e+01,3.146400215211948392e+01,2.296334839386436855e+01,2.761158806602014693e+01,4.942506354011547387e+01
3.606673712779196705e+01,3.247189507915268791e+01,3.146136779305535214e+01,2.295044334976201128e+01,2.759215953801306753e+01,4.945739711222492474e+01
3.607027289651600910e+01,3.247073224970814209e+01,3.145899485377585236e+01,2.293881696064886810e+01,2.757461398737501668e+01,4.948656905197611167e+01
3.607346904788637687e+01,3.246968091305879511e+01,3.145685003905483512e+01,2.292830663434650518e+01,2.755871839253294553e+01,4.951297497312055640e+01
