# 5 kg/s Parallel,10 kg/s Parallel,15 kg/s Parallel,20 kg/s Parallel,25 kg/s Parallel,30 kg/s Parallel,5 kg/s Non-Parallel,10 kg/s Non-Parallel,15 kg/s Non-Parallel,20 kg/s Non-Parallel,25 kg/s Non-Parallel,30 kg/s Non-Parallel
4.386495330128175738e+03,8.919845009295222553e+03,1.359930964337994919e+04,1.842459839797643144e+04,2.339554111545865089e+04,2.851202398712818103e+04,3.651112153220400160e+03,7.533694327578085904e+03,1.163283505497854094e+04,1.593740079980302289e+04,2.043865089746622834e+04,2.512956712393801354e+04
4.333654163707538828e+03,8.708480118757424862e+03,1.312373808001854195e+04,1.757913676845728332e+04,2.207450554652332721e+04,2.660973010277122012e+04,3.564499604377800097e+03,7.197481621256322796e+03,1.089646374750331233e+04,1.465980245569784893e+04,1.848613483736307171e+04,2.237426315648608579e+04
4.323868762219844939e+03,8.669338467435314669e+03,1.303566924588290567e+04,1.742256971398411042e+04,2.182986911226733355e+04,2.625745299190510923e+04,3.548093091707190069e+03,7.132544754658570128e+03,1.075183216557311607e+04,1.440518959811848617e+04,1.809206111914348730e+04,2.181199275548508740e+04
4.320443871676407980e+03,8.655638889085652409e+03,1.300484515182264113e+04,1.736777123774956272e+04,2.174424634161357972e+04,2.613415596209275100e+04,3.542321873466119541e+03,7.109592904306953642e+03,1.070047946742347449e+04,1.431439532909775517e+04,1.795095596355356975e+04,2.160987149830356429e+04
4.318858636620848301e+03,8.649297941323487976e+03,1.299057799933590468e+04,1.734240737031192839e+04,2.170461522723052258e+04,2.607708704363968718e+04,3.539645466533216222e+03,7.098928973136205059e+03,1.067657626223465377e+04,1.427205799393956295e+04,1.788504468055595135e+04,2.151529987444274229e+04
4.317997521280952242e+03,8.645853475854064527e+03,1.298282794109356473e+04,1.732862946666512289e+04,2.168308721356584283e+04,2.604608664146566298e+04,3.538190239643479345e+03,7.093125347732828232e+03,1.066355555664460189e+04,1.424897504530759215e+04,1.784907719195048048e+04,2.146364787855366012e+04
4.317478295890115078e+03,8.643776571807778964e+03,1.297815490037477684e+04,1.732032182520077549e+04,2.167010650000422538e+04,2.602739437600837118e+04,3.537312314077165865e+03,7.089622222958931161e+03,1.065569203667932561e+04,1.423502752297363986e+04,1.782733334817111245e+04,2.143240644885770234e+04
4.317141298641113281e+03,8.642428581198277243e+03,1.297512191720196461e+04,1.731492984631768559e+04,2.166168151751796177e+04,2.601526237651186602e+04,3.536742317203425500e+03,7.087347056595798676e+03,1.065058327284320694e+04,1.422596319269591186e+04,1.781319777688383692e+04,2.141209013453746593e+04
4.316910254436581454e+03,8.641504403273092976e+03,1.297304251391745674e+04,1.731123312332499700e+04,2.165590537720423526e+04,2.600694471746937052e+04,3.536351442972461882e+03,7.085786524568878121e+03,1.064707842246572181e+04,1.421974330286905206e+04,1.780349596495831065e+04,2.139814328431834292e+04
4.316744989876123327e+03,8.640843344238988720e+03,1.297155512897662811e+04,1.730858887910276098e+04,2.165177373798620829e+04,2.600099514481944789e+04,3.536071809858791312e+03,7.084669942598515263e+03,1.064457027385146648e+04,1.421529154187390122e+04,1.779655105085803734e+04,2.138815813499045180e+04
