# Fracture 1 Parallel,Fracture 2 Parallel,Fracture 3 Parallel,Fracture 1 Non-Parallel,Fracture 2 Non-Parallel,Fracture 3 Non-Parallel
3.334711513524820248e+01,3.332906207654226449e+01,3.332382278820953303e+01,1.914027895664446888e+01,2.825094675126859656e+01,5.260877429208692035e+01
3.334778087574873950e+01,3.332885570389608887e+01,3.332336342035517873e+01,1.845523884663914771e+01,2.754346808197286478e+01,5.400129307138799817e+01
3.334791128378164160e+01,3.332881527782524245e+01,3.332327343839310885e+01,1.831869193241244176e+01,2.739573817071109829e+01,5.428556989687647416e+01
3.334795748460079068e+01,3.332880095564451040e+01,3.332324155975469182e+01,1.827010548670080681e+01,2.734264127151735835e+01,5.438725324178182774e+01
3.334797896827761576e+01,3.332879429572517438e+01,3.332322673599720986e+01,1.824747377230047007e+01,2.731781372909493655e+01,5.443471249860459693e+01
3.334799066490403163e+01,3.332879066977856297e+01,3.332321866531739829e+01,1.823514164974145046e+01,2.730425975760206825e+01,5.446059859265648129e+01
3.334799772663519946e+01,3.332878848064517285e+01,3.332321379271962769e+01,1.822769265315352527e+01,2.729606407523399980e+01,5.447624327161248203e+01
3.334800231361324307e+01,3.332878705868367319e+01,3.332321062770309084e+01,1.822285267169715084e+01,2.729073544518407246e+01,5.448641188311877670e+01
3.334800546008894884e+01,3.332878608327712300e+01,3.332320845663394948e+01,1.821953198283280173e+01,2.728707790722332760e+01,5.449339010994386001e+01
3.334800771157280508e+01,3.332878538531760171e+01,3.332320690310959321e+01,1.821715550762793967e+01,2.728445956949839157e+01,5.449838492287365455e+01
3.334800937786108221e+01,3.332878486876861501e+01,3.332320575337030277e+01,1.821539653674300041e+01,2.728252115522256815e+01,5.450208230803443854e+01
3.334801064546341109e+01,3.332878447581211390e+01,3.332320487872447501e+01,1.821405832589146456e+01,2.728104618228391942e+01,5.450489549182459825e+01
3.334801163210763519e+01,3.332878416995257709e+01,3.332320419793977351e+01,1.821301666231853389e+01,2.727989791774304962e+01,5.450708541993840583e+01
3.334801241507398117e+01,3.332878392723310412e+01,3.332320365769292891e+01,1.821218999655673088e+01,2.727898656275421629e+01,5.450882344068904928e+01
3.334801304679223222e+01,3.332878373140052730e+01,3.332320322180723338e+01,1.821152299603953395e+01,2.727825117179607517e+01,5.451022583216439443e+01
3.334801356384773641e+01,3.332878357111339795e+01,3.332320286503887274e+01,1.821097704598973621e+01,2.727764920431573614e+01,5.451137374969453475e+01
3.334801399239830033e+01,3.332878343826276790e+01,3.332320256933892466e+01,1.821052453569014062e+01,2.727715023752691081e+01,5.451232522678295567e+01
