# Well Angle,Fracture 1,Fracture 2,Fracture 3,Pressure Drop
1.003354252449484146e-01,3.510156706221764011e+01,3.259713206525930929e+01,3.230130087252305060e+01,2.209769486866357795e+02
2.006706966436306028e-01,3.452993063206640301e+01,3.258407063196101205e+01,3.288599873597257783e+01,2.216891919467925618e+02
3.010056603245632179e-01,3.396593601286829056e+01,3.255645586361578836e+01,3.347760812351592108e+01,2.223357878181765557e+02
4.013401625788883820e-01,3.340923429601850358e+01,3.251427179370141829e+01,3.407649391028007813e+01,2.229172363958444691e+02
5.006912612564722309e-01,3.286483886494766438e+01,3.245811145410411314e+01,3.467704968094821538e+01,2.234292195345866219e+02
6.005615116529761099e-01,3.232414363975986760e+01,3.238717452195001556e+01,3.528868183829013105e+01,2.238802837743398300e+02
7.004308497143204582e-01,3.178969863539218466e+01,3.230164762637473075e+01,3.590865373823308460e+01,2.242678755733909668e+02
8.002991237428552784e-01,3.126119527346198979e+01,3.220144309023432072e+01,3.653736163630368594e+01,2.245922222472567569e+02
9.001661820506275946e-01,3.073833229519876653e+01,3.208645494059254588e+01,3.717521276420868048e+01,2.248534868983293507e+02
1.000031872960765789e+00,3.022081519168617447e+01,3.195655867273262629e+01,3.782262613558118858e+01,2.250517690019608494e+02
1.100961253905949455e+00,2.970291565689616675e+01,3.180998315004536181e+01,3.848710119305845723e+01,2.251882090965281975e+02
1.200823736403118236e+00,2.919528048652479413e+01,3.164965826621062206e+01,3.915506124726459092e+01,2.252599000128350326e+02
1.300418102405262344e+00,2.869347582749642456e+01,3.147442456627652518e+01,3.983209960622705381e+01,2.252685884537830248e+02
1.400809364927726230e+00,2.819189596524838137e+01,3.128208074682274287e+01,4.052602328792886510e+01,2.252137085692633889e+02
1.500665914816155189e+00,2.769694054554139839e+01,3.107489163507507968e+01,4.122816781938352904e+01,2.250955188624415086e+02
1.600520185534808570e+00,2.720567282737939152e+01,3.085163453243513487e+01,4.194269264018548427e+01,2.249136183045888515e+02
1.700105757316529465e+00,2.671912784099989580e+01,3.061270441442417933e+01,4.266816774457591777e+01,2.246684062975791676e+02
1.800221283243522041e+00,2.623315710303589654e+01,3.035583020794022602e+01,4.341101268902389165e+01,2.243572528133052231e+02
1.899950655587020032e+00,2.575195768754266012e+01,3.008301334325224019e+01,4.416502896920511034e+01,2.239823904135244561e+02
1.999930083045492024e+00,2.527219843960609680e+01,2.979220951615479862e+01,4.493559204423908682e+01,2.235410178828062726e+02
2.099906465473766470e+00,2.479484953413251702e+01,2.948372651406184275e+01,4.572142395180564733e+01,2.230333995622970349e+02
2.199879650817317511e+00,2.431965821356792290e+01,2.915717547953876476e+01,4.652316630689330168e+01,2.224588642783132855e+02
2.299849487050810826e+00,2.384637242478481056e+01,2.881214011494606098e+01,4.734148746026913557e+01,2.218166724669379732e+02
2.399815822179489189e+00,2.337474040272148912e+01,2.844817545967274341e+01,4.817708413760576747e+01,2.211060149849043057e+02
2.499778504240557808e+00,2.290451025505924321e+01,2.806480656664581019e+01,4.903068317829495015e+01,2.203260118091626225e+02
2.599737381304565442e+00,2.243542954688762947e+01,2.766152707164458846e+01,4.990304338146777496e+01,2.194757106278356957e+02
2.699692301476790846e+00,2.196724488435709688e+01,2.723779764836073269e+01,5.079495746728217398e+01,2.185540853258466711e+02
2.799643112898621666e+00,2.149970149636908090e+01,2.679304434151189085e+01,5.170725416211902825e+01,2.175600343691444323e+02
2.899589663748938673e+00,2.103254281340699094e+01,2.632665676963824453e+01,5.264080041695476098e+01,2.164923790923373019e+02
2.999531802245492429e+00,2.056551004267288718e+01,2.583798618848240380e+01,5.359650376884470546e+01,2.153498618955648283e+02
3.099469376646286189e+00,2.009834173875671581e+01,2.532634340506923110e+01,5.457531485617405309e+01,2.141311443577538682e+02
3.199402235250955240e+00,1.963077336914250637e+01,2.479099653176300677e+01,5.557823009909448331e+01,2.128348052749115880e+02
3.299330226402140021e+00,1.916253687394010541e+01,2.423116856867464719e+01,5.660629455738526161e+01,2.114593386339714414e+02
3.399253198486867245e+00,1.869336021932919323e+01,2.364603480182498174e+01,5.766060497884581793e+01,2.100031515349452889e+02
3.499170999937923909e+00,1.822296694432089126e+01,2.303472000343170834e+01,5.874231305224739685e+01,2.084645620766709726e+02
3.599083479235231753e+00,1.775107570057726392e+01,2.239629541957838654e+01,5.985262887984436020e+01,2.068417972246055285e+02
3.698990484907222154e+00,1.727739978519118225e+01,2.172977552933570067e+01,6.099282468547310998e+01,2.051329906827464242e+02
3.798891865532205259e+00,1.680164666652168393e+01,2.103411455814522313e+01,6.216423877533308939e+01,2.033361807959632017e+02
3.898787469739746658e+00,1.632351750340583862e+01,2.030820272692599104e+01,6.336827976966815612e+01,2.014493085141605775e+02
3.998677146212032518e+00,1.584270665833754421e+01,1.955086221694512716e+01,6.460643112471731797e+01,1.994702154554439346e+02
4.098560743685243146e+00,1.535890120552441118e+01,1.876084282898580469e+01,6.588025596548978058e+01,1.973966421123846544e+02
4.198438110950915458e+00,1.487178043510908587e+01,1.793681731376605271e+01,6.719140225112487030e+01,1.952262262534410127e+02
4.298309096857314771e+00,1.438101535529064101e+01,1.707737634890939660e+01,6.854160829579996062e+01,1.929565015809029944e+02
4.398173550310795044e+00,1.388626819460797535e+01,1.618102313605147202e+01,6.993270866934055618e+01,1.905848967175665223e+02
4.498031320277168454e+00,1.338719190726952135e+01,1.524616758989936827e+01,7.136664050283110328e+01,1.881087346068565012e+02
4.597882255783063421e+00,1.288342968514612252e+01,1.427112008926076037e+01,7.284545022559309757e+01,1.855252324257406258e+02
4.697726205917286180e+00,1.237461448090420468e+01,1.325408475824570509e+01,7.437130076085010444e+01,1.828315021266015492e+02
4.797563019832182363e+00,1.186036854776477689e+01,1.219315224405408316e+01,7.594647920818114528e+01,1.800245517437579963e+02
4.897392546744996800e+00,1.134030300255584045e+01,1.108629195602889972e+01,7.757340504141527049e+01,1.771012876227999868e+02
4.997214635939223548e+00,1.081401742010353573e+01,9.931343729034868062e+00,7.925463885086159621e+01,1.740585177568889890e+02
5.097029136765969248e+00,1.028109946861570378e+01,8.726008872777835990e+00,8.099289165860645312e+01,1.708929564439605997e+02
5.196835898645304042e+00,9.741124597578744826e+00,7.467840567491462522e+00,8.279103483492980331e+01,1.676012305130638822e+02
5.296634771067609826e+00,9.193655791855965376e+00,6.154233565588073773e+00,8.465211064255596796e+01,1.641798874073106163e+02
5.396425603594937392e+00,9.345804256484939287e+00,6.802170535519236338e+00,8.385202520799582260e+01,1.661525426182601848e+02
5.496208245862351127e+00,9.728335295167962471e+00,8.112203277140876523e+00,8.215946142769115568e+01,1.699865503222351890e+02
5.595982547579276378e+00,1.009038962623569446e+01,9.373873417654856155e+00,8.053573695610943162e+01,1.737356491830146012e+02
5.695748358530851263e+00,1.043311472263242834e+01,1.058993226820200917e+01,7.897695300916555539e+01,1.774021356976570019e+02
5.795505528579258936e+00,1.075758745443216391e+01,1.176293609716422495e+01,7.747947644840360226e+01,1.809883222299805254e+02
5.895253907665082949e+00,1.106481837628646225e+01,1.289526168767069514e+01,7.603991993604283550e+01,1.844965185486193491e+02
5.994993345808638630e+00,1.135575583727091775e+01,1.398912060651385580e+01,7.465512355621523000e+01,1.879290169754758040e+02
6.094723693111312457e+00,1.163128989851488981e+01,1.504657228256400003e+01,7.332213781892112081e+01,1.912880805551346270e+02
6.194444799756905873e+00,1.189225605057989910e+01,1.606953598849178633e+01,7.203820796092831813e+01,1.945759337459639084e+02
6.294156516012963110e+00,1.213943872760634335e+01,1.705980181460139278e+01,7.080075945779226743e+01,1.977947552108389857e+02
